step,dataset,model,attack,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,gd,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_rank,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,ensemble_hybrid,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.1,0.25,0.6896666666666667,0.6986666666666667,0.009000000000000008
